NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
7408,치킨랜치샐러드,175,263,11.92,11.25,18.8,3.4,2.15,0,0,0,0,544.27,-
7409,미니브라우니,107,394,60.7,5.92,13.58,7.39,34.96,0,0,0,0,165.59,-
7410,감자튀김,80,220,34,3,8,1,0,0,0,0,0,222,-
7411,청포도에이드,373,176,44.09,0.41,0.04,0,42.11,0,0,0,0,0,-
7412,자몽에이드,373,160,38.87,1.23,0.11,0,36.07,0,0,0,0,8.62,-
7413,라임에이드,381,168,41,1g 미만,0.08,0,38.63,0,0,0,0,0,-
7414,블루베리레몬에이드,397,168,41.69,0.48,0.12,0.04,38.91,0,0,0,0,7.34,-
7415,더블치즈(BL),132,381,48,18,13,8,5,0,0,0,0,421,-
7416,더블치즈(L),110,319,40,15,11,7,4,0,0,0,0,352,-
7417,더블치즈(M),98,290,36,14,10,4.4,4,0,0,0,0,314,-
7418,페퍼로니(BL),127,377,45,20,13,6,4,0,0,0,0,464,-
7419,페퍼로니(L),106,306,37,17,10,4.9,3,0,0,0,0,384,-
7420,페퍼로니(M),94,273,33,15,9,3.3,3,0,0,0,0,343,-
