NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
1730,핫 초콜릿 venti (iced),680,644.66,81.1,14.01,28.53,21.38,61.7,0,0,0,0,194.56,-
1731,시나몬 초콜릿 tall (hot),369,428.33,49.78,10.44,20.24,14.38,43.87,0,0,0,0,189.28,-
1732,시나몬 초콜릿 tall (iced),397,378.72,45.18,7.57,17.89,13.31,39.18,0,0,0,0,140.72,-
1733,시나몬 초콜릿 grande (hot),510,533.06,63.32,13.22,24.58,17.24,55.85,0,0,0,0,240.64,-
1734,시나몬 초콜릿 grande (iced),454,533.16,60.2,10.96,26.56,19.83,52.43,0,0,0,0,200.56,-
1735,시나몬 초콜릿 venti (hot),680,667.56,79.62,17.72,30.23,20.74,70.65,0,0,0,0,321.14,-
1736,시나몬 초콜릿 venti (iced),680,613.66,72.5,13.06,29.06,21.33,63.23,0,0,0,0,241.06,-
1737,그린민트 초콜릿 tall (hot),369,431.04,125.84,10.28,21.49,14.13,29.58,0,0,0,0,228.43,-
1738,그린민트 초콜릿 tall (iced),397,395.02,122.24,8.01,19.95,13.55,25.89,0,0,0,0,189.87,-
1739,그린민트 초콜릿 grande (hot),510,561.32,214.9,13.18,26.29,16.98,37.76,0,0,0,0,292.49,-
1740,그린민트 초콜릿 grande (iced),454,568.16,212.28,11.22,28.72,19.83,34.84,0,0,0,0,257.41,-
1741,그린민트 초콜릿 venti (hot),680,721.28,306.72,17.8,32.5,20.48,48.76,0,0,0,0,385.69,-
1742,그린민트 초콜릿 venti (iced),680,660.62,299.1,12.84,30.93,20.83,40.84,0,0,0,0,300.61,-
1743,그린라떼 tall (hot),369,296.3,38.65,9.2,11.83,7.25,14.5,0,0,0,0,147.5,-
1744,그린라떼 tall (iced),397,228.8,33.65,6.2,7.83,4.75,9.5,0,0,0,0,97.5,-
1745,그린라떼 grande (hot),510,397.27,52.81,12.1,15.52,9.5,19,0,0,0,0,193.5,-
1746,그린라떼 grande (iced),454,336.52,48.31,9.4,11.92,7.25,14.5,0,0,0,0,148.5,-
1747,그린라떼 venti (hot),680,538.74,69.97,16.8,21.61,13.25,26.5,0,0,0,0,269.5,-
1748,그린라떼 venti (iced),680,410.49,60.47,11.1,14.01,8.5,17,0,0,0,0,174.5,-
1749,밀크티 로열 tall (hot),369,340.89,52.99,5.49,12.11,8.7,7.5,0,0,0,0,118.34,-
1750,밀크티 로열 tall (iced),397,340.89,52.99,5.49,12.11,8.7,7.5,0,0,0,0,118.34,-
1751,밀크티 로열 grande (hot),510,418.21,63.76,7.17,15.22,10.85,10,0,0,0,0,151.22,-
1752,밀크티 로열 grande (iced),454,431.71,64.76,7.77,16.02,11.35,11,0,0,0,0,161.22,-
1753,밀크티 로열 venti (hot),680,498.53,74.53,8.85,18.33,13,12.5,0,0,0,0,184.1,-
1754,밀크티 로열 venti (iced),680,509.03,75.53,9.45,19.13,13.5,13.5,0,0,0,0,194.1,-
1755,군고구마 라떼 tall (hot),369,310.9,38.41,9.79,13.28,8.44,31.16,0,0,0,0,260.99,-
1756,군고구마 라떼 tall (iced),397,243.4,33.41,6.79,9.28,5.94,26.16,0,0,0,0,210.99,-
1757,블랙 티 얼 그레이 tall (hot),369,0,0,0,0,0,0,0,0,0,0,0,-
1758,블랙 티 얼 그레이 tall (iced),397,0,0,0,0,0,0,0,0,0,0,0,-
1759,블랙 티 얼 그레이 grande (hot),510,0,0,0,0,0,0,0,0,0,0,0,-
1760,블랙 티 얼 그레이 grande (iced),454,0,0,0,0,0,0,0,0,0,0,0,-
1761,블랙 티 잉글리쉬 블랙퍼스트 tall (hot),369,0.01,0,0,0,0,0,0,0,0,0,0,-
1762,블랙 티 잉글리쉬 블랙퍼스트 tall (iced),397,0.01,0,0,0,0,0,0,0,0,0,0,-
1763,블랙 티 잉글리쉬 블랙퍼스트 grande (hot),510,0.02,0,0,0,0,0,0,0,0,0,0,-
1764,블랙 티 잉글리쉬 블랙퍼스트 grande (iced),454,0.02,0,0,0,0,0,0,0,0,0,0,-
1765,허브 티 캐모마일 tall (hot),369,0.01,0,0,0,0,0,0,0,0,0,0.01,-
1766,허브 티 캐모마일 tall (iced),397,0.01,0,0,0,0,0,0,0,0,0,0.01,-
1767,허브 티 캐모마일 grande (hot),510,0.02,0,0,0,0,0,0,0,0,0,0.03,-
1768,허브 티 캐모마일 grande (iced),454,0.02,0,0,0,0,0,0,0,0,0,0.03,-
1769,허브 티 페퍼민트 tall (hot),369,0.01,0,0,0,0,0,0,0,0,0,0.02,-
1770,허브 티 페퍼민트 tall (iced),397,0.01,0,0,0,0,0,0,0,0,0,0.02,-
1771,허브 티 페퍼민트 grande (hot),510,0.02,0,0,0,0,0,0,0,0,0,0.04,-
1772,허브 티 페퍼민트 grande (iced),454,0.02,0,0,0,0,0,0,0,0,0,0.04,-
1773,허브 티 로즈마리 tall (hot),369,0,0,0,0,0,0,0,0,0,0,0,-
1774,허브 티 로즈마리 tall (iced),397,0,0,0,0,0,0,0,0,0,0,0,-
1775,허브 티 로즈마리 grande (hot),510,0,0,0,0,0,0,0,0,0,0,0,-
1776,허브 티 로즈마리 grande (iced),454,0,0,0,0,0,0,0,0,0,0,0,-
1777,허브 티 쟈스민 플라워 tall (hot),369,0.01,0,0,0,0,0,0,0,0,0,0.02,-
1778,허브 티 쟈스민 플라워 tall (iced),397,0.01,0,0,0,0,0,0,0,0,0,0.02,-
1779,허브 티 쟈스민 플라워 grande (hot),510,0.01,0,0,0,0,0,0,0,0,0,0.04,-
1780,허브 티 쟈스민 플라워 grande (iced),454,0.01,0,0,0,0,0,0,0,0,0,0.04,-
1781,허브 티 베이비 그린티 tall (hot),369,0.01,0,0,0,0,0,0,0,0,0,0.01,-
1782,허브 티 베이비 그린티 tall (iced),397,0.01,0,0,0,0,0,0,0,0,0,0.01,-
1783,허브 티 베이비 그린티 grande (hot),510,0.01,0,0,0,0,0,0,0,0,0,0.03,-
1784,허브 티 베이비 그린티 grande (iced),454,0.01,0,0,0,0,0,0,0,0,0,0.03,-
1785,허브 티 베이비 그린티 venti (hot),680,0,0,0,0,0,0,0,0,0,0,0,-
1786,허브 티 베이비 그린티 venti (iced),680,0,0,0,0,0,0,0,0,0,0,0,-
1787,유자차 tall,369,225,58.5,0,0,0,49.5,0,0,0,0,45,-
1788,유자차 grande,510,300,78,0,0,0,66,0,0,0,0,60,-
1789,유자차 venti,680,375,97.5,0,0,0,82.5,0,0,0,0,75,-
1790,후레쉬 티 자몽 tall,369,107.5,27,0.5,0,0,24,0,0,0,0,2.5,-
1791,후레쉬 티 자몽 grande,510,129,32.4,0.6,0,0,28.8,0,0,0,0,3,-
1792,후레쉬 티 자몽 venti,680,150.5,37.8,0.7,0,0,33.6,0,0,0,0,3.5,-
1793,후레쉬 티 레몬 tall (hot),369,105,26.5,0.5,0,0,24,0,0,0,0,2.5,-
1794,후레쉬 티 레몬 tall (iced),397,0,0,0,0,0,0,0,0,0,0,0,-
1795,후레쉬 티 레몬 grande (hot),510,126,31.8,0.6,0,0,28.8,0,0,0,0,0,-
1796,후레쉬 티 레몬 grande (iced),454,0,0,0,0,0,0,0,0,0,0,0,-
1797,아카시아 꿀차 tall,369,289.86,51.31,3.63,7.08,1.5,21.81,0,0,0,0,6,-
1798,아카시아 꿀차 grande,510,367.22,67.12,4.65,8.17,2,26.81,0,0,0,0,8,-
1799,아카시아 꿀차 venti,680,449.58,82.93,5.67,9.26,2.5,31.81,0,0,0,0,10,-
1800,바닐라 탐앤치노 tall,397,289.01,51.03,3.7,6.89,4.35,21.63,0,0,0,0,149.49,-
1801,바닐라 탐앤치노 grande,454,366.37,66.84,4.72,7.98,4.85,26.63,0,0,0,0,184.29,-
1802,바닐라 탐앤치노 venti,680,448.73,82.65,5.74,9.07,5.35,31.63,0,0,0,0,224.09,-
1803,에스프레소 탐앤치노 tall,397,236.14,37.15,3.16,7.62,4.36,22.66,0,0,0,0,120.09,-
1804,에스프레소 탐앤치노 grande,454,295.94,48.52,4.01,8.85,4.87,30.55,0,0,0,0,148.68,-
1805,에스프레소 탐앤치노 venti,680,360.74,59.89,4.86,10.08,5.38,38.44,0,0,0,0,182.28,-
1806,모카 탐앤치노 tall,397,303.19,53.87,4.54,7.54,4.58,31.79,0,0,0,0,111.99,-
1807,모카 탐앤치노 grande,454,387.44,70.66,5.96,8.84,5.19,42.36,0,0,0,0,140.14,-
1808,모카 탐앤치노 venti,680,476.69,87.45,7.38,10.13,5.8,52.92,0,0,0,0,173.29,-
1809,캬라멜 탐앤치노 tall,397,324.54,56.91,3.94,8.27,4.83,33.58,0,0,0,0,221.49,-
1810,캬라멜 탐앤치노 grande,454,426.84,77.78,5.17,9.81,5.56,46.72,0,0,0,0,298.83,-
1811,캬라멜 탐앤치노 venti,680,512.74,93.32,6.38,11.34,6.29,55.07,0,0,0,0,380.58,-
1812,시나몬 모카 탐앤치노 tall,397,261.69,46.54,3.45,6.2,4.35,39.16,0,0,0,0,86.94,-
1813,시나몬 모카 탐앤치노 grande,454,315.19,56.84,4.35,7.1,4.85,47.96,0,0,0,0,107.44,-
1814,시나몬 모카 탐앤치노 venti,680,373.69,67.14,5.25,8,5.35,56.76,0,0,0,0,132.94,-
1815,그린민트 모카 탐앤치노 tall,397,333,205.32,4.03,8.9,4.35,25.63,0,0,0,0,165.49,-
1816,그린민트 모카 탐앤치노 grande,454,411.96,291.14,5.05,10.31,4.85,30.63,0,0,0,0,198.69,-
1817,그린민트 모카 탐앤치노 venti,680,495.92,376.96,6.07,11.72,5.35,35.63,0,0,0,0,236.89,-
1818,그린 티 탐앤치노 tall,397,338,59.94,4.96,8.61,5.85,6.63,0,0,0,0,68.39,-
1819,그린 티 탐앤치노 grande,454,405.22,71.6,6.36,10.3,6.85,8.63,0,0,0,0,89.39,-
1820,그린 티 탐앤치노 venti,680,472.44,83.26,7.76,11.99,7.85,10.63,0,0,0,0,110.39,-
1821,시나몬 초콜릿 탐앤치노 tall,397,339.89,58.66,5.55,8.67,5.86,50.02,0,0,0,0,120.94,-
1822,시나몬 초콜릿  탐앤치노 grande,454,406.89,69.96,7.05,10.37,6.86,59.82,0,0,0,0,151.44,-
1823,시나몬 초콜릿 탐앤치노 venti,680,473.89,81.26,8.55,12.07,7.86,69.62,0,0,0,0,181.94,-
1824,그린민트 초콜릿 탐앤치노 tall,397,418.5,213.99,6.16,14.3,8.52,33.96,0,0,0,0,192.16,-
1825,그린민트 초콜릿 탐앤치노 grande,454,520.96,301.95,7.85,17.11,10.05,41.03,0,0,0,0,235.69,-
1826,그린민트 초콜릿 탐앤치노 venti,680,613.42,388.77,9.47,19.32,11.05,47.03,0,0,0,0,278.89,-
1827,자바 칩 탐앤치노 tall,397,423.39,69.4,6.99,13.23,8.76,43.62,0,0,0,0,151.56,-
1828,자바 칩 탐앤치노 grande,454,531.14,88.32,9.08,15.93,10.4,56.25,0,0,0,0,190.04,-
1829,자바 칩 탐앤치노 venti,680,628.89,106.11,11.1,18.02,11.52,67.82,0,0,0,0,228.19,-
1830,월넛치노 tall,397,621.7,98.33,11.35,21,3.67,76.33,0,0,0,0,108.68,-
1831,월넛치노 grande,454,714.57,113.13,13.36,23.87,4.67,88.33,0,0,0,0,135.17,-
1832,월넛치노 venti,680,807.44,127.93,15.37,26374,5.67,100.33,0,0,0,0,161.66,-
1833,플레인 요거트 스무디 tall,397,297.3,54.58,7.87,5.36,3,34.7,0,0,0,0,110.89,-
1834,플레인 요거트 스무디 grande,454,386.1,70.46,10.29,7.12,4,44.9,0,0,0,0,145.43,-
1835,플레인 요거트 스무디 venti,680,461.4,85.34,12.11,8.08,4.5,54.1,0,0,0,0,169.97,-
1836,프리미엄 요거트 스무디 tall,397,379,85,2.4,3.2,2,63,0,0,0,0,8,-
1837,프리미엄 요거트 스무디 grande,454,450.75,101.7,2.7,3.6,2.25,75.3,0,0,0,0,9,-
1838,프리미엄 요거트 스무디 venti,680,555,126.5,3,4,2.5,93.5,0,0,0,0,10,-
1839,프리미엄 스무디 블루베리 tall,397,379,85,2.4,3.2,2,63,0,0,0,0,190,-
1840,프리미엄 스무디 블루베리 grande,454,450.75,101.7,2.7,3.6,2.25,75.3,0,0,0,0,225,-
1841,프리미엄 스무디 블루베리 venti,680,555,126.5,3,4,2.5,93.5,0,0,0,0,275,-
1842,프리미엄 스무디 유자 tall,397,301.55,71.66,1.52,2.02,1.26,61.58,0,0,0,0,71.2,-
1843,프리미엄 스무디 유자 grande,454,439.83,104.24,2.28,3.03,1.9,89.62,0,0,0,0,104.29,-
1844,프리미엄 스무디 유자 venti,680,571.35,136.32,2.74,3.64,2.28,117.16,0,0,0,0,132.39,-
1845,과일 요거트 스무디 tall,397,359,79,2.4,3.7,2,71,0,0,0,0,8,-
1846,과일 요거트 스무디 grande,454,426.75,94.5,2.7,4.2,2.25,84.9,0,0,0,0,9,-
1847,과일 요거트 스무디 venti,680,525,117.5,3,4.75,2.5,105.5,0,0,0,0,10,-
1848,과일 스무디 딸기 tall,397,359,79,2.4,3.7,2,71,0,0,0,0,50,-
1849,과일 스무디 딸기 grande,454,426.75,94.5,2.7,4.2,2.25,84.9,0,0,0,0,57,-
1850,과일 스무디 딸기 venti,680,525,117.5,3,4.75,2.5,105.5,0,0,0,0,65,-
1851,과일 스무디 망고 tall,397,354,77,2.4,3.7,2,69,0,0,0,0,50,-
1852,과일 스무디 망고 grande,454,420.75,92.1,2.7,4.2,2.25,82.5,0,0,0,0,57,-
1853,과일 스무디 망고 venti,680,517.5,114.5,3,4.75,2.5,102.5,0,0,0,0,65,-
1854,홍시 스무디 tall,397,357.2,46.64,3.69,3.47,2.06,77.12,0,0,0,0,46.78,-
1855,후레쉬 에이드 자몽 tall,397,149.65,37.5,0.35,0,0,35.4,0,0,0,0,0,-
1856,후레쉬 에이드 자몽 grande,454,204.75,51.3,0.45,0,0,48.6,0,0,0,0,0,-
1857,후레쉬 에이드 망고 venti,680,250.25,62.7,0.55,0,0,59.4,0,0,0,0,0,-
1858,후레쉬 쥬스 오렌지 tall,397,105,26,0.5,0,0,23.5,0,0,0,0,2.5,-
1859,후레쉬 쥬스 오렌지 grande,454,126,31.2,0.6,0,0,28.2,0,0,0,0,3,-
1860,후레쉬 쥬스 오렌지 venti,680,147,36.4,0.7,0,0,32.9,0,0,0,0,3.5,-
1861,후레쉬 에이드 레몬  tall,397,147.9,37.15,0.35,0,0,35.4,0,0,0,0,16.63,-
1862,후레쉬 에이드 레몬  grande,454,202.5,50.85,0.45,0,0,48.6,0,0,0,0,23.85,-
1863,후레쉬 에이드 레몬  venti,680,247.5,62.15,0.55,0,0,59.4,0,0,0,0,29.15,-
1864,후레쉬 쥬스 자몽 tall,397,107.5,27,0.5,0,0,24,0,0,0,0,2.5,-
1865,후레쉬 쥬스 자몽 grande,454,129,32.4,0.6,0,0,28.8,0,0,0,0,3,-
1866,후레쉬 쥬스 자몽 venti,680,150.5,37.8,0.7,0,0,33.6,0,0,0,0,3.5,-
1867,후레쉬 주스 오렌지 tall,397,105,26,0.5,0,0,23.5,0,0,0,0,2.5,-
1868,후레쉬 주스 오렌지 grande,454,126,31.2,0.6,0,0,28.2,0,0,0,0,3,-
1869,블루레몬 에이드 grande,454,292.6,73.15,0.62,0.15,0,71.47,0,0,0,0,31.08,-
1870,아이스 티 복숭아 tall,397,179.34,44.1,0.42,0,0,41.79,0,0,0,0,14.7,-
1871,아이스 티 복숭아 grande,454,256.2,63,0.6,0,0,59.7,0,0,0,0,21,-
1872,아이스 티 복숭아 venti,680,315.98,77.7,0.74,0,0,73.63,0,0,0,0,25.9,-
1873,아이스 티 레몬 tall,397,180.6,44.52,0.42,0,0,42.84,0,0,0,0,15.75,-
1874,아이스 티 레몬 grande,454,258,63.6,0.6,0,0,61.2,0,0,0,0,22.5,-
1875,아이스 티 레몬 venti,680,318.2,78.44,0.74,0,0,75.48,0,0,0,0,27.75,-
1876,아이스 홍시 tall,397,173,26.65,0.66,0.15,0.04,41.35,0,0,0,0,3.99,-
1877,국내산 과일주스 딸기 grande,454,276.2,69.94,1.29,0.37,0.06,52.12,0,0,0,0,10.78,-
1878,유자에이드 tall,397,261.4,67.1,0,0,0,60.1,0,0,0,0,52.28,-
1879,유자에이드 grande,454,380.6,97.9,0,0,0,86.9,0,0,0,0,76.12,-
1880,유자에이드 venti,680,495,127.5,0,0,0,112.5,0,0,0,0,99,-
1881,아이스블루스노우모카 R,410,321.9,0,4.9,0,9.6,41.9,0,0,0,0,150.8,-
1882,아이스블루스노우모카 L,580,499.7,0,8.3,0,14.1,65.6,0,0,0,0,253.8,-
1883,블루스노우모카 R,360,416.5,0,8.5,0,12.6,51.5,0,0,0,0,210.8,-
1884,블루스노우모카 L,475,574.8,0,11,0,16.3,73.8,0,0,0,0,298.8,-
1885,넘버 원 모카 R,378,463.7,0,8.1,0,12.9,63.3,0,0,0,0,248.5,-
1886,넘버 원 모카 L,478,541,0,10.3,0,16.3,69,0,0,0,0,286.8,-
1887,시나몬 크림 모카 R,251,225.7,0,7,0,4.9,32,0,0,0,0,173.4,-
1888,시나몬 크림 모카 L,339,295.6,0,9.2,0,6.5,40.7,0,0,0,0,246.8,-
1889,화이트 모카 R,354,394.8,0,7.3,0,12.6,48.6,0,0,0,0,267.4,-
1890,화이트 모카 L,464,531.6,0,9.1,0,16.3,67.4,0,0,0,0,380.3,-
1891,아이스 아메리카노 R,395,5,0,0,0,0,0,0,0,0,0,30,-
1892,아이스 아메리카노 L,530,10,0,0,0,0,0,0,0,0,0,60,-
1893,아메리카노 R,280,5,0,0,0,0,0,0,0,0,0,30,-
1894,아메리카노 L,450,10,0,0,0,0,0,0,0,0,0,60,-
1895,카페라떼 R,280,161,0,7.2,0,6,10.8,0,0,0,0,150,-
1896,카페라떼 L,360,205,0,9,0,7.5,13.5,0,0,0,0,210,-
1897,아이스 카페라떼R,395,122,0,5.4,0,4.5,8.1,0,0,0,0,120,-
1898,아이스 카페라떼L,530,185.5,0,8.1,0,6.8,12.2,0,0,0,0,195,-
1899,민트모카 R,369,482.9,0,10.3,0,18.6,50.3,0,0,0,0,240.9,-
1900,민트모카 L,489,631.6,0,15.6,0,27.7,55.6,0,0,0,0,357.5,-
1901,아이스 민트모카 R,424,404.9,0,6.7,0,15.6,44.9,0,0,0,0,180.9,-
1902,아이스 민트모카 L,599,518.4,0,9.7,0,22.9,50.1,0,0,0,0,260,-
1903,에스프레소 토피넛라떼 R,356,445.9,0,8.4,0,20.6,38.5,0,0,0,0,258.9,-
1904,에스프레소 토피넛라떼 L,462,598.2,0,10.8,0,28.2,49.6,0,0,0,0,368.6,-
1905,아이스 에스프레소 토피넛라떼 R,411,367.9,0,4.8,0,17.6,33.1,0,0,0,0,198.9,-
1906,아이스 에스프레소 토피넛라떼 L,487,500.7,0,6.3,0,24.5,42.8,0,0,0,0,293.6,-
1907,아이스 화이트모카 R,409,347.3,0,4.5,0,10.3,47.4,0,0,0,0,234,-
1908,아이스 화이트모카 L,574,523.6,0,7.9,0,15.1,69.5,0,0,0,0,375.3,-
1909,아이스 넘버원모카 R,403,366.2,0,3.6,0,9.2,56.5,0,0,0,0,173.5,-
1910,아이스 넘버원모카 L,678,567.5,0,10.3,0,16.3,75.5,0,0,0,0,293.6,-
1911,아이스 카라멜모카 R,409,427.6,0,7.9,0,14.1,49.6,0,0,0,0,0,-
1912,아이스 카라멜모카 L,554,319.4,0,5,0,9.6,40.6,0,0,0,0,0,-
1913,아이스 카페모카 R,409,319.4,0,5,0,9.6,40.6,0,0,0,0,155.5,-
1914,아이스 카페모카 L,574,480.6,0,8.4,0,14.1,60.1,0,0,0,0,258.5,-
1915,아이스 연라떼 R,281,158.5,0,4.5,0,3.8,5.6,0,0,0,0,104,-
1916,아이스 연라떼 L,451,267.5,0,8.1,0,6.8,10.1,0,0,0,0,193.4,-
1917,아이스 카라멜 마끼아또 R,274,136.7,0,2.5,0,2,18.8,0,0,0,0,75.9,-
1918,아이스 카라멜 마끼아또 L,439,229.8,0,5.1,0,4.1,28.8,0,0,0,0,149,-
1919,아이스 바닐라라떼 R,415,154,0,5.4,0,4.5,14.2,0,0,0,0,120.6,-
1920,아이스 바닐라라떼 L,560,331.8,0,11.3,0,9.5,14,0,0,0,0,245.9,-
1921,아이스 카푸치노 R,221,41.5,0,1.5,0,1.3,3.1,0,0,0,0,55.1,-
1922,아이스 카푸치노 L,361,92,0,3.6,0,3,6.2,0,0,0,0,120.1,-
1923,아이스 카라멜 라떼 R,415,187.6,0,5.4,0,4.5,20.5,0,0,0,0,121.2,-
1924,아이스 카라멜 라떼 L,560,283.9,0,8.1,0,6.8,30.8,0,0,0,0,196.8,-
1925,에스프레소,30,5,0,0,0,0,0,0,0,0,0,30,-
1926,콘파냐,40,32,0,0,0,2.2,1.5,0,0,0,0,34.7,-
1927,아포가토,105,108.4,0,1.6,0,3.8,10.1,0,0,0,0,53.6,-
1928,카라멜 라떼 R,300,226.6,0,7.2,0,6,23.2,0,0,0,0,151.2,-
1929,카라멜 라떼 L,360,303.4,0,9,0,7.5,32.1,0,0,0,0,210,-
1930,바닐라라떼 R,300,193,0,7.2,0,6,16.9,0,0,0,0,150.6,-
1931,바닐라라떼 L,390,253,0,9,0,7.5,22.7,0,0,0,0,210.9,-
1932,연라떼 R,251,223.5,0,7.5,0,6.3,10.1,0,0,0,0,154,-
1933,연라떼 L,346,316.2,0,10.4,0,8.7,13.4,0,0,0,0,230,-
1934,카푸치노 R,221,126,0,5.4,0,4.5,8.9,0,0,0,0,120.1,-
1935,카푸치노 L,301,170,0,7.2,0,6,11.6,0,0,0,0,180.1,-
1936,카라멜 마끼아또 R,244,201.7,0,5.5,0,4.5,23.3,0,0,0,0,125.9,-
1937,카라멜 마끼아또 L,334,278.5,0,7.3,0,6,32.2,0,0,0,0,186.5,-
1938,카라멜모카 R,354,396.1,0,8,0,12.9,47.3,0,0,0,0,234.8,-
1939,카라멜모카 L,464,539.1,0,11.1,0,16.3,64.1,0,0,0,0,303.5,-
1940,딸기라떼 R,377,209.3,0,4.5,0,3,35.7,0,0,0,0,71.1,-
1941,딸기라떼 L,473,286,0,4.4,0,2.4,56,0,0,0,0,69.5,-
1942,진저라떼 R,280,265.4,0,7.2,0,6,35.2,0,0,0,0,125,-
1943,진저라떼 L,360,359.1,0,9,0,7.5,50.1,0,0,0,0,157.5,-
1944,캐시미어 초코 R,296,533.3,0,10.2,0,19.2,49.5,0,0,0,0,159.9,-
1945,캐시미어 초코 L,421,785,0,14.9,0,28.6,70.1,0,0,0,0,228.4,-
1946,토피넛 라떼 R,316,440.9,0,8.4,0,20.6,38.5,0,0,0,0,228.9,-
1947,토피넛 라떼 L,402,588.2,0,10.8,0,28.2,49.6,0,0,0,0,308.6,-
1948,아이스 화이트초코 라떼 R,396,333.2,0,4.5,0,10.4,44.8,0,0,0,0,188.1,-
1949,아이스 화이트초코 라떼 L,610,543,0,9,0,16.3,71.4,0,0,0,0,317.4,-
1950,아이스 초코 라떼 R,396,323.9,0,5.9,0,10.4,39.9,0,0,0,0,135.9,-
1951,아이스 초코 라떼 L,601,489.9,0,9.7,0,15.2,60.1,0,0,0,0,216.4,-
1952,아이스 토피넛 라떼 R,401,362.9,0,4.8,0,17.6,33.1,0,0,0,0,168.9,-
1953,아이스 토피넛 라떼 L,497,490.7,0,6.3,0,24.5,42.8,0,0,0,0,233.6,-
1954,아이스 고구마라떼 R,490,253.6,0,4.6,0,3.7,28.8,0,0,0,0,69,-
1955,아이스 고구마라떼 L,545,398.8,0,7,0,5.6,46.2,0,0,0,0,104.1,-
1956,고구마라떼 R,350,381.3,0,7.4,0,6,40.2,0,0,0,0,111.6,-
1957,고구마라떼 L,440,519,0,11,0,8.9,53.5,0,0,0,0,168,-
1958,오곡라떼 R,285,341.1,0,10.2,0,7.4,23.3,0,0,0,0,164.4,-
1959,오곡라떼 L,368,474.3,0,13.5,0,10.2,32.8,0,0,0,0,223.4,-
1960,아이스 그린티라떼 R,385,216.3,0,5.1,0,3.8,28.8,0,0,0,0,75,-
1961,아이스 그린티라떼 L,530,334.2,0,8.1,0,6,43.8,0,0,0,0,120,-
1962,아이스 오곡라떼 R,468,296.8,0,7,0,5.5,21,0,0,0,0,123.1,-
1963,아이스 오곡라떼 L,523,470.1,0,11.2,0,8.7,33.2,0,0,0,0,194.7,-
1964,녹차라떼 R,263,245.1,0,7.7,0,6,27.3,0,0,0,0,120,-
1965,녹차라떼 L,330,313.8,0,9.6,0,7.5,35.5,0,0,0,0,150,-
1966,아이스 홍차라떼 R,393,238.8,0,5.4,0,5,25.1,0,0,0,0,88.1,-
1967,아이스 홍차라떼 L,508,334.3,0,7.5,0,7,35.1,0,0,0,0,123.3,-
1968,시나몬 크림 초코 R,211,220.7,0,7,0,4.9,32,0,0,0,0,143.4,-
1969,시나몬 크림 초코 L,324,285.3,0,9.2,0,6.5,40.6,0,0,0,0,186.6,-
1970,아이스 시나몬크림초코 R,241,136.2,0,3.1,0,1.6,26.2,0,0,0,0,78.4,-
1971,아이스 시나몬크림초코 L,384,207.3,0,5.6,0,3.5,35.2,0,0,0,0,126.6,-
1972,홍차라떼 R,270,269,0,7.9,0,7,25.4,0,0,0,0,130.5,-
1973,홍차라떼 L,345,364.5,0,10.1,0,9,35.5,0,0,0,0,165.7,-
1974,리얼프리미엄 초코 R,301,478.1,0,11.3,0,20,35.6,0,0,0,0,130.1,-
1975,리얼프리미엄 초코 L,451,715.1,0,16.9,0,30,53,0,0,0,0,195.1,-
1976,리얼프리미엄 모카 R,274,462.6,0,8,0,22,33.9,0,0,0,0,132.1,-
1977,리얼프리미엄 모카 L,424,712.1,0,12.7,0,33.5,51.4,0,0,0,0,216.8,-
1978,리얼프리미엄 바닐라 R,243,336.9,0,6.5,0,15.6,30.4,0,0,0,0,161,-
1979,리얼프리미엄 바닐라 L,355,509.1,0,11.2,0,22.9,45.3,0,0,0,0,256.7,-
1980,초코 라떼 R,311,382.4,0,8.6,0,12.6,43.9,0,0,0,0,180.9,-
1981,초코 라떼 L,401,519.1,0,11.1,0,16.3,62.1,0,0,0,0,238.9,-
1982,아이스 민트초코 라떼 R,499,370.3,0,6,0,14,41.6,0,0,0,0,133.9,-
1983,아이스 민트초코 라떼 L,531,443.6,0,7.7,0,19.3,43.4,0,0,0,0,159,-
1984,민트초코 라떼 R,339,448.3,0,9.6,0,17,47,0,0,0,0,193.9,-
1985,민트초코 라떼 L,436,513.6,0,11.3,0,22.3,47.3,0,0,0,0,218.8,-
1986,화이트초코 라떼 R,311,391.7,0,7.2,0,12.6,48.9,0,0,0,0,233.1,-
1987,화이트초코 라떼 L,410,543,0,9,0,16.3,71.4,0,0,0,0,317.4,-
1988,수박 프로스트 R,525,161.6,0,14,0,0,186.1,0,0,0,0,120,-
1989,수박 프로스트 L,725,242.4,0,21,0,0,279.15,0,0,0,0,180,-
1990,청포도 프로스트 R,320,227.2,0,0,0,0,59.2,0,0,0,0,5,-
1991,청포도 프로스트 L,430,374.4,0,0,0,0,97.4,0,0,0,0,8,-
1992,초코 파르페,466,598.9,0,9.2,0,15.1,72.3,0,0,0,0,247,-
1993,딸기치즈 프로스트 R,420,411.9,0,6,0,5.3,55.9,0,0,0,0,218.3,-
1994,딸기치즈 프로스트 L,601,701.4,0,9.7,0,17.3,78.3,0,0,0,0,354.6,-
1995,딸퐁 요거트 프로스트 R,497,427.4,0,6.6,0,3.1,68.8,0,0,0,0,144.7,-
1996,딸퐁 요거트 프로스트 L,612,545,0,8.7,0,4.2,84,0,0,0,0,192.4,-
